Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.696489	8.811194	1.321679	5.443682	0.816552	1.278795	0.191819	206.132721	-27.395791	91.398882	16.969729	23.394415	4.688429	16.789900	4.007553	2.010470	1.134798	1.190449	0.624268	2.089797	0.639565	0.696489	0.011406	0.001141	0.696489	0.013014	0.001301	0.696489	288.979218	97043.828125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.696489	4.998094	0.457402	NaN	NaN	-60.282930	-0.010033	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.726374	8.455686	1.268353	5.216814	0.782522	1.244797	0.186720	228.686990	-33.512433	120.305516	8.028950	27.045352	5.671456	23.061108	3.786095	1.587834	0.632048	1.193873	0.626063	2.067259	0.632668	0.726374	0.010719	0.001072	0.726374	0.012202	0.001220	0.726374	288.749908	96699.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.726374	4.994777	0.487288	NaN	NaN	-60.080059	-0.010004	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.756260	8.079695	1.211954	4.971502	0.745725	1.208777	0.181317	229.989600	-33.525718	125.613461	6.608363	28.465135	5.953846	25.266703	4.016347	1.495145	0.572789	1.200498	0.629537	2.040134	0.624366	0.756260	0.010173	0.001017	0.756260	0.011566	0.001157	0.756260	288.520599	96355.921875	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.756260	4.978975	0.517173	NaN	NaN	-59.841466	-0.009984	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.786146	7.634490	1.145174	4.681630	0.702245	1.166753	0.175013	220.797312	-32.992510	117.943425	7.367129	28.921029	6.123317	25.192812	4.093476	1.550062	0.620578	1.208897	0.633942	2.004512	0.613465	0.786146	0.009624	0.000962	0.786146	0.010932	0.001093	0.786146	288.291321	96011.968750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.786146	4.960282	0.547059	NaN	NaN	-59.625535	-0.009976	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.816032	7.089241	1.063386	4.333755	0.650063	1.113716	0.167057	206.218241	-33.956056	101.420744	7.227506	29.088903	6.479266	23.402511	3.886393	1.754295	0.778085	1.216595	0.637979	1.960236	0.599914	0.816032	0.009044	0.000904	0.816032	0.010263	0.001026	0.816032	288.062012	95668.007812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.816032	4.954514	0.576945	NaN	NaN	-59.491020	-0.009956	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.845918	6.432777	0.964917	3.943944	0.591592	1.050803	0.157620	180.385116	-35.152733	87.424729	5.757728	28.041563	6.895982	22.166831	3.631401	1.790531	0.910497	1.209380	0.634195	1.908146	0.583973	0.845918	0.008531	0.000853	0.845918	0.009682	0.000968	0.845918	288.006622	95330.140625	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.845918	4.934625	0.606831	NaN	NaN	-59.433116	-0.009927	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.875804	5.728977	0.859347	3.515941	0.527391	0.976863	0.146529	151.669541	-37.118261	67.734585	4.669581	26.474105	7.599191	19.264995	3.180337	1.992722	1.252481	1.206919	0.632905	1.847683	0.565468	0.875804	0.008088	0.000809	0.875804	0.009198	0.000920	0.875804	288.125366	94999.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.875804	4.900924	0.636717	NaN	NaN	-59.394008	-0.009900	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.905689	5.050828	0.757624	3.107049	0.466057	0.901408	0.135211	131.325328	-40.437257	52.408161	2.314737	26.000751	8.905501	16.867503	2.637528	2.270845	1.746213	1.201107	0.629857	1.785293	0.546374	0.905689	0.007716	0.000772	0.905689	0.008801	0.000880	0.905689	288.249329	94668.468750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.905689	4.886681	0.666603	NaN	NaN	-59.398568	-0.009859	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.935575	4.504174	0.675626	2.774101	0.416115	0.837970	0.125696	117.487402	-42.716723	42.916520	0.261756	26.084117	10.259201	15.470427	2.322482	2.489519	2.237881	1.198139	0.628300	1.727049	0.528549	0.935575	0.007385	0.000738	0.935575	0.008429	0.000843	0.935575	288.373260	94337.937500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.935575	4.863846	0.696488	NaN	NaN	-59.471795	-0.009804	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.965461	4.057020	0.608553	2.512455	0.376868	0.784625	0.117694	108.164689	-44.367142	31.564453	-1.595514	26.661117	11.644188	12.563190	1.988602	3.044611	3.110531	1.184568	0.621184	1.679023	0.513851	0.965461	0.007136	0.000714	0.965461	0.008149	0.000815	0.965461	288.497223	94007.398437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.965461	4.857095	0.726374	NaN	NaN	-59.585358	-0.009782	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
