Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)	Ang b355/532 NF	Error Ang b355/532 NF	Ang Ext NF	Error Ang Ext NF
0.257780	1.366710	0.205007	0.934036	0.140105	0.435144	0.065272	-977.583733	683.987717	-1168.793826	829.237251	-715.282412	-511.834699	-1251.337538	-907.425584	-0.441613	-1.087800	0.940972	0.493443	1.101985	0.337253	0.257780	0.028508	0.002851	0.257780	0.056242	0.005624	78.464600	295.223450	99560.906250	0.257780	0.015461	0.001546	0.257780	0.041444	0.004144	0.000000	0.000000	0.257780	0.941865	0.000141	-1168.793826	0.829237	-1240.935159	-899.882147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.429030	0.000000	0.000000	0.257780	1.414399	NaN	-977.583733	0.683988	-691.165214	0.000000	0.007916	0.001485	0.000090	1.005123	NaN	-0.441613	NaN
0.265251	1.368169	0.205225	0.932409	0.139861	0.433488	0.065023	-655.985945	482.087398	-771.296962	564.373510	-479.462690	-359.624335	-827.208906	-617.872639	-0.400306	-1.026245	0.947918	0.497085	1.104970	0.338167	0.265251	0.028549	0.002855	0.265251	0.056374	0.005637	85.936066	295.274628	99475.617187	0.265251	0.015453	0.001545	0.265251	0.041338	0.004134	0.000000	0.000000	0.265251	0.940319	0.000141	-771.296962	0.564374	-820.250214	-612.674938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.424818	0.000000	0.000000	0.265251	1.415854	NaN	-655.985945	0.482087	-463.314658	0.000000	0.007907	0.001484	0.000090	1.011725	NaN	-0.400306	NaN
0.272723	1.364398	0.204660	0.930079	0.139512	0.431580	0.064737	-416.140710	324.031919	-490.080260	374.207480	-304.999525	-241.857243	-526.923054	-410.029254	-0.404290	-1.089933	0.947279	0.496750	1.107727	0.339011	0.272723	0.028567	0.002857	0.272723	0.056467	0.005647	93.407524	295.325806	99390.328125	0.272723	0.015453	0.001545	0.272723	0.041385	0.004139	0.000000	0.000000	0.272723	0.938067	0.000141	-490.080260	0.374207	-522.436049	-406.537657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.420891	0.000000	0.000000	0.272723	1.412052	NaN	-416.140710	0.324032	-294.706464	0.000000	0.007899	0.001482	0.000090	1.011004	NaN	-0.404290	NaN
0.280194	1.356487	0.203473	0.927216	0.139082	0.429833	0.064475	-244.667762	206.562740	-294.411686	240.500352	-180.368697	-154.662528	-317.522276	-263.715647	-0.457518	-1.328658	0.940526	0.493209	1.109128	0.339440	0.280194	0.028604	0.002860	0.280194	0.056628	0.005663	100.878983	295.376984	99305.039062	0.280194	0.015457	0.001546	0.280194	0.041542	0.004154	0.000000	0.000000	0.280194	0.935280	0.000140	-294.411686	0.240500	-314.784621	-261.441909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.417980	0.000000	0.000000	0.280194	1.404087	NaN	-244.667762	0.206563	-174.253961	0.000000	0.007891	0.001480	0.000090	1.004379	NaN	-0.457518	NaN
0.287665	1.351293	0.202694	0.926689	0.139003	0.428198	0.064230	-130.160825	126.499732	-158.901647	148.222474	-96.323137	-94.722247	-171.472428	-162.003273	-0.493206	-1.642396	0.932448	0.488973	1.113807	0.340872	0.287665	0.028649	0.002865	0.287665	0.056737	0.005674	108.350441	295.428162	99219.742187	0.287665	0.015461	0.001546	0.287665	0.041645	0.004165	0.000000	0.000000	0.287665	0.934837	0.000140	-158.901647	0.148222	-169.977980	-160.591352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.413652	0.000000	0.000000	0.287665	1.398855	NaN	-130.160825	0.126500	-93.048120	0.000000	0.007883	0.001479	0.000090	0.996321	NaN	-0.493206	NaN
0.295137	1.349856	0.202478	0.925092	0.138764	0.426594	0.063989	-55.061456	74.007509	-72.921340	87.195699	-40.790603	-55.166569	-78.826049	-94.994982	-0.694471	-3.088437	0.934083	0.489830	1.116733	0.341767	0.295137	0.028708	0.002871	0.295137	0.056919	0.005692	115.821907	295.479340	99134.453125	0.295137	0.015465	0.001546	0.295137	0.041673	0.004167	0.000000	0.000000	0.295137	0.933319	0.000140	-72.921340	0.087196	-78.131201	-94.157606	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.408466	0.000000	0.000000	0.295137	1.397399	NaN	-55.061456	0.074008	-39.402821	0.000000	0.007875	0.001477	0.000089	0.997763	NaN	-0.694471	NaN
0.302608	1.349356	0.202403	0.923386	0.138508	0.425020	0.063753	-7.946851	43.074973	-21.712201	49.357271	-5.889365	-31.934832	-23.513666	-53.568691	-2.484635	-36.101836	0.937728	0.491742	1.119405	0.342585	0.302608	0.028776	0.002878	0.302608	0.057128	0.005713	123.293365	295.530518	99049.164062	0.302608	0.015467	0.001547	0.302608	0.041673	0.004167	0.000000	0.000000	0.302608	0.931693	0.000140	-21.712201	0.049357	-23.304036	-53.091113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.404460	0.000000	0.000000	0.302608	1.396885	NaN	-7.946851	0.043075	-5.688982	0.000000	0.007867	0.001476	0.000089	1.001164	NaN	-2.484635	NaN
0.310080	1.352574	0.202886	0.922929	0.138439	0.423442	0.063516	21.157162	27.445870	9.110611	30.668199	15.642152	20.426792	9.871415	33.262197	2.082782	18.574018	0.944841	0.495472	1.124054	0.344008	0.310080	0.028846	0.002885	0.310080	0.057304	0.005730	130.764832	295.581665	98963.875000	0.310080	0.015459	0.001546	0.310080	0.041530	0.004153	0.000000	0.000000	0.310080	0.931318	0.000140	9.110611	0.030668	9.782491	32.962560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.398645	0.000000	0.000000	0.310080	1.400108	NaN	21.157162	0.027446	15.111097	0.000000	0.007859	0.001474	0.000089	1.007855	NaN	2.082782	NaN
0.317551	1.351043	0.202657	0.921795	0.138269	0.422068	0.063310	40.546624	19.538485	27.101538	18.755728	30.011341	15.146229	29.400838	20.819421	0.995887	2.076074	0.945082	0.495598	1.126972	0.344900	0.317551	0.028907	0.002891	0.317551	0.057478	0.005748	138.236282	295.632843	98878.585937	0.317551	0.015445	0.001545	0.317551	0.041437	0.004144	0.000000	0.000000	0.317551	0.930265	0.000140	27.101538	0.018756	29.133132	20.629853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.395423	0.000000	0.000000	0.317551	1.398558	NaN	40.546624	0.019538	28.991729	0.000000	0.007850	0.001473	0.000089	1.007915	NaN	0.995887	NaN
0.325023	1.349124	0.202369	0.919866	0.137980	0.420394	0.063059	48.483910	14.831934	36.933758	12.807821	35.937329	12.244229	40.151241	15.170322	0.672654	0.768934	0.946745	0.496470	1.129680	0.345729	0.325023	0.028963	0.002896	0.325023	0.057662	0.005766	145.707748	295.684021	98793.289062	0.325023	0.015423	0.001542	0.325023	0.041291	0.004129	0.000000	0.000000	0.325023	0.928414	0.000139	36.933758	0.012808	39.781556	15.030644	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	0.000000	0.000000	0.389913	0.000000	0.000000	0.325023	1.396618	NaN	48.483910	0.014832	34.715226	0.000000	0.007842	0.001471	0.000089	1.009407	NaN	0.672654	NaN
