Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)	Ang b355/532 NF	Error Ang b355/532 NF	Ang Ext NF	Error Ang Ext NF
0.354909	0.381970	0.057295	0.302343	0.045351	0.089570	0.013436	-5111.686132	1294.777661	-4983.373062	1375.962425	-13382.442430	-3939.525063	-16482.530821	-5179.216584	0.062845	0.058211	0.577911	0.303055	1.755090	0.537131	0.354909	0.004749	0.000475	0.354909	0.003977	0.000398	78.464600	283.028442	99765.085937	0.354909	0.021176	0.002118	0.354909	-0.039333	-0.003933	0.000000	0.000000	0.354909	0.172155	0.000026	-326.235704	0.398643	-1895.006087	-2332.980670	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.429030	0.000000	0.000000	0.354909	NaN	NaN	NaN	NaN	NaN	0.000000	0.008274	0.001552	0.000094	NaN	NaN	NaN	NaN
0.362380	0.376492	0.056474	0.300733	0.045110	0.088756	0.013313	-4812.631199	1196.628646	-4646.983450	1244.955789	-12782.825907	-3711.942160	-15452.165897	-4744.437628	0.086585	0.078234	0.555397	0.291248	1.760567	0.538807	0.362380	0.004671	0.000467	0.362380	0.003493	0.000349	85.936066	282.978973	99676.726562	0.362380	0.021272	0.002127	0.362380	-0.037809	-0.003781	0.000000	0.000000	0.362380	0.173271	0.000026	-188.128257	0.269409	-1085.746076	-1563.350692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.424818	0.000000	0.000000	0.362380	NaN	NaN	NaN	NaN	NaN	0.000000	0.008268	0.001551	0.000094	NaN	NaN	NaN	NaN
0.369852	0.375162	0.056274	0.299292	0.044894	0.087919	0.013188	-4521.044496	1099.460439	-4325.349015	1116.639583	-12050.916630	-3443.274925	-14451.934697	-4314.997244	0.109388	0.095905	0.558525	0.292889	1.767308	0.540870	0.369852	0.004625	0.000463	0.369852	0.003211	0.000321	93.407524	282.929474	99588.367187	0.369852	0.021391	0.002139	0.369852	-0.035800	-0.003580	0.000000	0.000000	0.369852	0.174000	0.000026	-89.559627	0.173026	-514.710036	-997.396119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.420891	0.000000	0.000000	0.369852	NaN	NaN	NaN	NaN	NaN	0.000000	0.008262	0.001550	0.000094	NaN	NaN	NaN	NaN
0.377323	0.370439	0.055566	0.298135	0.044720	0.087129	0.013069	-4243.730311	1006.378227	-4021.612461	994.011115	-11455.948837	-3214.564907	-13489.225112	-3900.035146	0.132896	0.112530	0.536781	0.281486	1.774734	0.543143	0.377323	0.004577	0.000458	0.377323	0.002911	0.000291	100.878983	282.880005	99500.015625	0.377323	0.021504	0.002150	0.377323	-0.033892	-0.003389	0.000000	0.000000	0.377323	0.173770	0.000026	-24.875782	0.106850	-143.153302	-615.266793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.417980	0.000000	0.000000	0.377323	NaN	NaN	NaN	NaN	NaN	0.000000	0.008256	0.001549	0.000094	NaN	NaN	NaN	NaN
0.384794	0.366325	0.054949	0.296720	0.044508	0.086323	0.012948	-3980.989065	918.964176	-3742.991899	884.461746	-10867.356585	-2991.707563	-12614.569602	-3530.655015	0.152388	0.124441	0.520941	0.273180	1.781284	0.545147	0.384794	0.004544	0.000454	0.384794	0.002706	0.000271	108.350441	282.830536	99411.656250	0.384794	0.021635	0.002163	0.384794	-0.031624	-0.003162	0.000000	0.000000	0.384794	0.172759	0.000026	12.775876	0.063874	73.952044	369.896466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.413652	0.000000	0.000000	0.384794	NaN	NaN	NaN	NaN	NaN	0.000000	0.008250	0.001548	0.000094	NaN	NaN	NaN	NaN
0.392266	0.365231	0.054785	0.295030	0.044255	0.085459	0.012819	-3730.659467	835.178455	-3492.972066	792.115752	-10214.529060	-2752.569460	-11839.363368	-3219.055463	0.162739	0.128195	0.527657	0.276702	1.787559	0.547068	0.392266	0.004521	0.000452	0.392266	0.002561	0.000256	115.821907	282.781036	99323.296875	0.392266	0.021736	0.002174	0.392266	-0.029911	-0.002991	0.000000	0.000000	0.392266	0.171860	0.000026	37.300373	0.036944	217.039220	217.417147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.408466	0.000000	0.000000	0.392266	NaN	NaN	NaN	NaN	NaN	0.000000	0.008244	0.001547	0.000094	NaN	NaN	NaN	NaN
0.399737	0.359348	0.053902	0.293639	0.044046	0.084654	0.012698	-3496.582165	758.014795	-3263.722993	710.315757	-9730.359379	-2565.140453	-11114.732647	-2937.887869	0.170366	0.129372	0.499197	0.261777	1.794404	0.549163	0.399737	0.004507	0.000451	0.399737	0.002470	0.000247	123.293365	282.731567	99234.937500	0.399737	0.021868	0.002187	0.399737	-0.027545	-0.002755	0.000000	0.000000	0.399737	0.172106	0.000026	50.675485	0.024704	294.443391	150.182454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.404460	0.000000	0.000000	0.399737	NaN	NaN	NaN	NaN	NaN	0.000000	0.008238	0.001546	0.000094	NaN	NaN	NaN	NaN
0.407209	0.355452	0.053318	0.292343	0.043851	0.083879	0.012582	-3277.746217	687.440067	-3054.231402	639.071509	-9221.353989	-2377.723258	-10447.413926	-2689.715956	0.174595	0.127866	0.483185	0.253381	1.801278	0.551266	0.407209	0.004489	0.000449	0.407209	0.002351	0.000235	130.764832	282.682098	99146.585937	0.407209	0.021991	0.002199	0.407209	-0.025322	-0.002532	0.000000	0.000000	0.407209	0.171153	0.000026	53.753644	0.022028	314.068421	137.052814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.398645	0.000000	0.000000	0.407209	NaN	NaN	NaN	NaN	NaN	0.000000	0.008232	0.001545	0.000093	NaN	NaN	NaN	NaN
0.414680	0.351910	0.052787	0.290733	0.043610	0.083160	0.012474	-3074.631831	625.224600	-2863.846120	577.988252	-8736.982831	-2207.726591	-9850.432031	-2476.992442	0.175563	0.124341	0.472084	0.247559	1.805730	0.552629	0.414680	0.004483	0.000448	0.414680	0.002308	0.000231	138.236282	282.632599	99058.226562	0.414680	0.022132	0.002213	0.414680	-0.022696	-0.002270	0.000000	0.000000	0.414680	0.171320	0.000026	56.923751	0.021720	332.265067	136.227189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.395423	0.000000	0.000000	0.414680	NaN	NaN	NaN	NaN	NaN	0.000000	0.008226	0.001543	0.000093	NaN	NaN	NaN	NaN
0.422152	0.350539	0.052581	0.289153	0.043373	0.082385	0.012358	-2886.604254	568.583457	-2690.034827	525.240058	-8234.770344	-2038.806933	-9303.147195	-2290.617800	0.174344	0.119533	0.475900	0.249561	1.811377	0.554357	0.422152	0.004482	0.000448	0.422152	0.002296	0.000230	145.707748	282.583130	98969.867187	0.422152	0.022264	0.002226	0.422152	-0.020228	-0.002023	0.000000	0.000000	0.422152	0.172259	0.000026	61.634347	0.023183	357.800729	144.889464	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.389913	0.000000	0.000000	0.422152	NaN	NaN	NaN	NaN	NaN	0.000000	0.008221	0.001542	0.000093	NaN	NaN	NaN	NaN
