Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
2.678533	1.641342	0.246201	1.457000	0.218550	1.022725	0.153409	58.983477	3.202690	37.252002	3.888456	35.936138	5.732719	25.567615	4.672351	1.136026	0.330425	0.294505	0.154437	0.510582	0.156259	2.678533	0.115454	0.011545	2.678533	0.202289	0.020229	2312.431152	285.502777	69670.218750	2.678533	0.027107	0.002711	2.678533	0.092834	0.009283	0.000000	0.000000	2.678533	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.093907	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005728	0.001075	0.000065
2.686004	1.643014	0.246452	1.455341	0.218301	1.021700	0.153255	59.873021	3.224044	36.913185	3.878450	36.440971	5.807690	25.363934	4.645105	1.195616	0.348951	0.299837	0.157234	0.510386	0.156200	2.686004	0.115332	0.011533	2.686004	0.202056	0.020206	2319.902588	285.455231	69609.281250	2.686004	0.027072	0.002707	2.686004	0.092665	0.009266	0.000000	0.000000	2.686004	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-4.211093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005724	0.001074	0.000065
2.693476	1.643593	0.246539	1.454370	0.218155	1.021023	0.153153	60.333685	3.212493	38.987487	3.950554	36.708403	5.842875	26.807137	4.852574	1.079412	0.305436	0.302360	0.158557	0.510379	0.156197	2.693476	0.115200	0.011520	2.693476	0.201803	0.020180	2327.374023	285.407715	69548.335937	2.693476	0.027040	0.002704	2.693476	0.092508	0.009251	0.000000	0.000000	2.693476	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.985721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005720	0.001073	0.000065
2.700947	1.644513	0.246677	1.453471	0.218021	1.019510	0.152926	61.636974	3.262167	37.127211	3.961246	37.480380	5.961750	25.543821	4.701977	1.253101	0.368935	0.305270	0.160083	0.511627	0.156579	2.700947	0.115006	0.011501	2.700947	0.201427	0.020143	2334.845703	285.360168	69487.390625	2.700947	0.027011	0.002701	2.700947	0.092362	0.009236	0.000000	0.000000	2.700947	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.595264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005716	0.001072	0.000065
2.708419	1.642764	0.246415	1.452250	0.217838	1.018699	0.152805	62.135012	3.269801	37.811247	3.976392	37.823456	6.012538	26.036316	4.769660	1.227865	0.356942	0.304717	0.159793	0.511562	0.156559	2.708419	0.114896	0.011490	2.708419	0.201217	0.020122	2342.317139	285.312622	69426.453125	2.708419	0.027005	0.002700	2.708419	0.092329	0.009233	0.000000	0.000000	2.708419	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.584887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005711	0.001072	0.000065
2.715890	1.639270	0.245891	1.450111	0.217517	1.017182	0.152577	60.962706	3.260856	38.571839	3.948110	37.188925	5.922400	26.599231	4.830307	1.131547	0.323053	0.303099	0.158944	0.511585	0.156566	2.715890	0.114761	0.011476	2.715890	0.200959	0.020096	2349.788574	285.265106	69365.507812	2.715890	0.026988	0.002699	2.715890	0.092239	0.009224	0.000000	0.000000	2.715890	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.319328	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005707	0.001071	0.000065
2.723362	1.637911	0.245687	1.447624	0.217144	1.015686	0.152353	61.618153	3.243364	38.816679	3.929168	37.619962	5.980344	26.814067	4.852253	1.142342	0.322183	0.305292	0.160094	0.511232	0.156458	2.723362	0.114632	0.011463	2.723362	0.200710	0.020071	2357.260010	285.217560	69304.570312	2.723362	0.026951	0.002695	2.723362	0.092047	0.009205	0.000000	0.000000	2.723362	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.458826	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005703	0.001070	0.000065
2.730833	1.633062	0.244959	1.446637	0.216996	1.014869	0.152230	60.897878	3.256053	39.625101	3.939484	37.290603	5.938318	27.391185	4.929205	1.062320	0.296444	0.299648	0.157135	0.511409	0.156513	2.730833	0.114475	0.011447	2.730833	0.200403	0.020040	2364.731445	285.170013	69243.625000	2.730833	0.026918	0.002692	2.730833	0.091876	0.009188	0.000000	0.000000	2.730833	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.472145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005699	0.001069	0.000065
2.738304	1.635515	0.245327	1.444664	0.216700	1.013713	0.152057	61.668190	3.274490	38.283406	3.915270	37.705668	5.999759	26.499872	4.810971	1.178545	0.335721	0.306732	0.160850	0.511084	0.156413	2.738304	0.114350	0.011435	2.738304	0.200160	0.020016	2372.202881	285.122498	69182.687500	2.738304	0.026878	0.002688	2.738304	0.091667	0.009167	0.000000	0.000000	2.738304	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.627383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005695	0.001069	0.000065
2.745776	1.639314	0.245897	1.443287	0.216493	1.012477	0.151872	62.249327	3.295346	37.053539	3.889673	37.972783	6.040229	25.673021	4.700311	1.282450	0.372718	0.314825	0.165093	0.511468	0.156531	2.745776	0.114210	0.011421	2.745776	0.199884	0.019988	2379.674316	285.074951	69121.742187	2.745776	0.026823	0.002682	2.745776	0.091381	0.009138	0.000000	0.000000	2.745776	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.837562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005691	0.001068	0.000065
2.753247	1.637578	0.245637	1.440481	0.216072	1.010849	0.151627	63.194427	3.321003	35.219257	3.922481	38.590170	6.133498	24.449644	4.567831	1.445206	0.439962	0.317016	0.166242	0.510984	0.156382	2.753247	0.114088	0.011409	2.753247	0.199645	0.019965	2387.145752	285.027435	69060.804687	2.753247	0.026793	0.002679	2.753247	0.091216	0.009122	0.000000	0.000000	2.753247	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.976303	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005687	0.001067	0.000065
2.760719	1.635923	0.245388	1.436276	0.215441	1.008864	0.151330	63.031117	3.311471	35.205781	3.913090	38.529386	6.123645	24.511855	4.576182	1.439756	0.437559	0.321744	0.168722	0.509600	0.155959	2.760719	0.113959	0.011396	2.760719	0.199392	0.019939	2394.617187	284.979889	68999.859375	2.760719	0.026774	0.002677	2.760719	0.091103	0.009110	0.000000	0.000000	2.760719	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.795665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005683	0.001066	0.000065
2.768190	1.636973	0.245546	1.434115	0.215117	1.007711	0.151157	62.766887	3.307344	36.023351	3.899035	38.343260	6.096036	25.118879	4.646320	1.372621	0.408472	0.327053	0.171505	0.509078	0.155799	2.768190	0.113858	0.011386	2.768190	0.199194	0.019919	2402.088623	284.932343	68938.921875	2.768190	0.026736	0.002674	2.768190	0.090890	0.009089	0.000000	0.000000	2.768190	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.226081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005679	0.001065	0.000064
2.775662	1.633431	0.245015	1.434212	0.215132	1.007296	0.151094	61.911394	3.360142	34.812035	3.826909	37.902672	6.046112	24.272588	4.513967	1.423250	0.431340	0.321530	0.168609	0.509770	0.156011	2.775662	0.113670	0.011367	2.775662	0.198821	0.019882	2409.560303	284.884827	68877.976562	2.775662	0.026703	0.002670	2.775662	0.090702	0.009070	0.000000	0.000000	2.775662	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.466500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005675	0.001065	0.000064
2.783133	1.628794	0.244319	1.433014	0.214952	1.006467	0.150970	61.644185	3.361018	33.025283	3.794496	37.846514	6.040373	23.046035	4.354496	1.542808	0.485036	0.316569	0.166008	0.509752	0.156006	2.783133	0.113538	0.011354	2.783133	0.198557	0.019856	2417.031738	284.837280	68817.031250	2.783133	0.026686	0.002669	2.783133	0.090594	0.009059	0.000000	0.000000	2.783133	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.633337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005671	0.001064	0.000064
2.790605	1.629381	0.244407	1.431802	0.214770	1.005104	0.150766	60.509966	3.315326	32.325834	3.812767	37.136772	5.930490	22.577023	4.308115	1.549818	0.498257	0.319550	0.167571	0.510488	0.156231	2.790605	0.113333	0.011333	2.790605	0.198150	0.019815	2424.503174	284.789764	68756.093750	2.790605	0.026663	0.002666	2.790605	0.090451	0.009045	0.000000	0.000000	2.790605	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.789610	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005667	0.001063	0.000064
2.798076	1.622078	0.243312	1.430212	0.214532	1.003561	0.150534	61.574448	3.286570	32.594866	3.792903	37.960224	6.043781	22.790228	4.326593	1.572440	0.497639	0.311192	0.163188	0.511101	0.156418	2.798076	0.113133	0.011313	2.798076	0.197751	0.019775	2431.974609	284.742218	68695.148437	2.798076	0.026647	0.002665	2.798076	0.090337	0.009034	0.000000	0.000000	2.798076	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.973275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005663	0.001062	0.000064
2.805548	1.617447	0.242617	1.429423	0.214413	1.002786	0.150418	59.424485	3.369146	30.392255	3.784182	36.739674	5.891475	21.261905	4.144877	1.657543	0.560587	0.305489	0.160198	0.511419	0.156516	2.805548	0.112968	0.011297	2.805548	0.197419	0.019742	2439.446045	284.694672	68634.210937	2.805548	0.026615	0.002661	2.805548	0.090142	0.009014	0.000000	0.000000	2.805548	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.468652	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005659	0.001062	0.000064
2.813019	1.617897	0.242685	1.429164	0.214375	1.002102	0.150315	60.207957	3.360962	31.029931	3.790084	37.213703	5.956071	21.711953	4.199951	1.638591	0.543980	0.306626	0.160794	0.512142	0.156737	2.813019	0.112798	0.011280	2.813019	0.197075	0.019707	2446.917480	284.647156	68573.265625	2.813019	0.026582	0.002658	2.813019	0.089944	0.008994	0.000000	0.000000	2.813019	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.218190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005654	0.001061	0.000064
2.820491	1.619012	0.242852	1.428755	0.214313	1.001420	0.150213	60.304737	3.353279	29.069230	3.726200	37.247854	5.958723	20.345848	4.014429	1.803916	0.623080	0.309036	0.162057	0.512712	0.156911	2.820491	0.112555	0.011255	2.820491	0.196586	0.019659	2454.388916	284.599609	68512.328125	2.820491	0.026550	0.002655	2.820491	0.089743	0.008974	0.000000	0.000000	2.820491	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.479377	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005650	0.001060	0.000064
2.827962	1.622531	0.243380	1.428031	0.214205	1.000306	0.150046	60.518042	3.351322	28.868324	3.716974	37.298543	5.963877	20.215471	3.996233	1.829789	0.633984	0.315655	0.165528	0.513586	0.157179	2.827962	0.112315	0.011232	2.827962	0.196105	0.019611	2461.860352	284.552094	68451.382812	2.827962	0.026518	0.002652	2.827962	0.089548	0.008955	0.000000	0.000000	2.827962	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.640100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005646	0.001059	0.000064
2.835433	1.619331	0.242900	1.426978	0.214047	0.999137	0.149870	60.501943	3.342345	27.633642	3.717213	37.362317	5.972347	19.365147	3.901729	1.937186	0.696383	0.312598	0.163925	0.514209	0.157370	2.835433	0.112141	0.011214	2.835433	0.195754	0.019575	2469.331787	284.504547	68390.445312	2.835433	0.026494	0.002649	2.835433	0.089389	0.008939	0.000000	0.000000	2.835433	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.125414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005642	0.001059	0.000064
2.842905	1.618746	0.242812	1.425593	0.213839	0.998032	0.149705	58.760111	3.285238	28.474984	3.708502	36.299768	5.810895	19.974131	3.967856	1.790831	0.627440	0.314106	0.164716	0.514405	0.157429	2.842905	0.111951	0.011195	2.842905	0.195371	0.019537	2476.803223	284.457001	68329.500000	2.842905	0.026466	0.002647	2.842905	0.089202	0.008920	0.000000	0.000000	2.842905	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.021247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005638	0.001058	0.000064
2.850376	1.620247	0.243037	1.424102	0.213615	0.996912	0.149537	59.063859	3.274884	28.822471	3.704447	36.453619	5.829652	20.239047	3.997866	1.773593	0.613708	0.318983	0.167274	0.514515	0.157463	2.850376	0.111812	0.011181	2.850376	0.195087	0.019509	2484.274902	284.409485	68268.554687	2.850376	0.026422	0.002642	2.850376	0.088940	0.008894	0.000000	0.000000	2.850376	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.599051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005634	0.001057	0.000064
2.857848	1.616844	0.242527	1.420709	0.213106	0.995644	0.149347	58.499686	3.283333	29.606086	3.660558	36.181412	5.794687	20.838958	4.050879	1.683555	0.565108	0.319683	0.167641	0.512908	0.156971	2.857848	0.111718	0.011172	2.857848	0.194893	0.019489	2491.746338	284.361938	68207.617187	2.857848	0.026400	0.002640	2.857848	0.088778	0.008878	0.000000	0.000000	2.857848	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.960164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005630	0.001056	0.000064
2.865319	1.619445	0.242917	1.420404	0.213061	0.994862	0.149229	59.523741	3.295590	29.574123	3.649656	36.755636	5.876925	20.820924	4.044263	1.729125	0.578153	0.324188	0.170003	0.513732	0.157224	2.865319	0.111532	0.011153	2.865319	0.194516	0.019452	2499.217773	284.314392	68146.671875	2.865319	0.026362	0.002636	2.865319	0.088542	0.008854	0.000000	0.000000	2.865319	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.686733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005626	0.001056	0.000064
2.872791	1.618952	0.242843	1.418631	0.212795	0.993838	0.149076	59.323538	3.285526	30.144560	3.646432	36.643173	5.859162	21.249047	4.094647	1.673569	0.550404	0.326522	0.171227	0.513417	0.157127	2.872791	0.111377	0.011138	2.872791	0.194200	0.019420	2506.689209	284.266876	68085.734375	2.872791	0.026335	0.002634	2.872791	0.088358	0.008836	0.000000	0.000000	2.872791	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.089531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005622	0.001055	0.000064
2.880262	1.619478	0.242922	1.418351	0.212753	0.992973	0.148946	59.280990	3.275580	30.267966	3.640309	36.604994	5.851435	21.340254	4.102922	1.661696	0.543683	0.327814	0.171905	0.514388	0.157424	2.880262	0.111149	0.011115	2.880262	0.193743	0.019374	2514.160645	284.219330	68024.789062	2.880262	0.026315	0.002632	2.880262	0.088205	0.008820	0.000000	0.000000	2.880262	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.904942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005618	0.001054	0.000064
2.887734	1.616542	0.242481	1.420048	0.213007	0.993045	0.148957	60.870623	3.233452	33.218874	3.915056	37.654840	5.991942	23.392777	4.462452	1.497142	0.478442	0.320371	0.168002	0.516010	0.157921	2.887734	0.110945	0.011094	2.887734	0.193333	0.019333	2521.632080	284.171814	67963.851562	2.887734	0.026285	0.002628	2.887734	0.088003	0.008800	0.000000	0.000000	2.887734	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.756825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005614	0.001053	0.000064
2.895205	1.615486	0.242323	1.418140	0.212721	0.991953	0.148793	61.692757	3.246070	33.740181	3.900518	38.188367	6.070451	23.791852	4.505678	1.491814	0.468409	0.322079	0.168897	0.515657	0.157813	2.895205	0.110846	0.011085	2.895205	0.193130	0.019313	2529.103516	284.124268	67902.906250	2.895205	0.026256	0.002626	2.895205	0.087807	0.008781	0.000000	0.000000	2.895205	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.194045	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005609	0.001052	0.000064
2.902677	1.613842	0.242076	1.417883	0.212683	0.991418	0.148713	62.852300	3.223970	33.135293	3.885750	38.945748	6.173990	23.369547	4.449556	1.582566	0.500743	0.320011	0.167813	0.516174	0.157971	2.902677	0.110628	0.011063	2.902677	0.192697	0.019270	2536.574951	284.076721	67841.968750	2.902677	0.026224	0.002622	2.902677	0.087599	0.008760	0.000000	0.000000	2.902677	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.197879	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005605	0.001052	0.000064
2.910148	1.610955	0.241643	1.416409	0.212461	0.990651	0.148598	62.849499	3.215687	34.763689	3.867865	39.013823	6.183149	24.543533	4.583741	1.463861	0.443155	0.318155	0.166840	0.515790	0.157853	2.910148	0.110448	0.011045	2.910148	0.192338	0.019234	2544.046387	284.029205	67781.023437	2.910148	0.026200	0.002620	2.910148	0.087424	0.008742	0.000000	0.000000	2.910148	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	9.642733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005601	0.001051	0.000064
2.917619	1.612049	0.241807	1.414806	0.212221	0.989442	0.148416	62.951606	3.206003	35.537932	3.850049	39.050689	6.186012	25.118595	4.647738	1.413422	0.418269	0.322633	0.169188	0.515917	0.157892	2.917619	0.110282	0.011028	2.917619	0.192010	0.019201	2551.517822	283.981659	67720.085937	2.917619	0.026170	0.002617	2.917619	0.087219	0.008722	0.000000	0.000000	2.917619	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.897301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005597	0.001050	0.000064
2.925091	1.616611	0.242492	1.415094	0.212264	0.989113	0.148367	63.115405	3.194138	38.340110	3.933426	39.041806	6.180598	27.093678	4.923699	1.232229	0.348463	0.329115	0.172587	0.516691	0.158129	2.925091	0.110101	0.011010	2.925091	0.191652	0.019165	2558.989502	283.934143	67659.140625	2.925091	0.026115	0.002611	2.925091	0.086892	0.008689	0.000000	0.000000	2.925091	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.854665	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005593	0.001049	0.000064
2.932562	1.614689	0.242203	1.413529	0.212029	0.987800	0.148170	61.487770	3.227969	38.934943	3.896949	38.080248	6.051767	27.544489	4.967009	1.129585	0.315597	0.328911	0.172480	0.517011	0.158227	2.932562	0.109905	0.010991	2.932562	0.191269	0.019127	2566.460937	283.886597	67598.195312	2.932562	0.026089	0.002609	2.932562	0.086707	0.008671	0.000000	0.000000	2.932562	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.416978	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005589	0.001049	0.000063
2.940034	1.611478	0.241722	1.411299	0.211695	0.986739	0.148011	60.642566	3.245817	41.073304	3.844602	37.631635	5.993338	29.103200	5.145723	0.963199	0.256739	0.327895	0.171947	0.516283	0.158004	2.940034	0.109803	0.010980	2.940034	0.191071	0.019107	2573.932373	283.839050	67537.257812	2.940034	0.026057	0.002606	2.940034	0.086491	0.008649	0.000000	0.000000	2.940034	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.677397	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005585	0.001048	0.000063
2.947505	1.612081	0.241812	1.411742	0.211761	0.986615	0.147992	60.946597	3.246225	41.089064	3.835594	37.806173	6.017835	29.105229	5.142154	0.974613	0.258937	0.328042	0.172024	0.516917	0.158198	2.947505	0.109643	0.010964	2.947505	0.190761	0.019076	2581.403809	283.791534	67476.312500	2.947505	0.026026	0.002603	2.947505	0.086276	0.008628	0.000000	0.000000	2.947505	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.245401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005581	0.001047	0.000063
2.954977	1.614039	0.242106	1.410559	0.211584	0.985639	0.147846	61.334900	3.247493	40.722534	3.841901	38.000884	6.044814	28.869776	5.115792	1.012463	0.270770	0.333114	0.174684	0.517136	0.158265	2.954977	0.109450	0.010945	2.954977	0.190388	0.019039	2588.875244	283.743988	67415.375000	2.954977	0.025992	0.002599	2.954977	0.086054	0.008605	0.000000	0.000000	2.954977	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.228354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005577	0.001046	0.000063
