Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	partdepol height	part. depol 355	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)	vol. depol 1064	error	part. depol 1064	error	water_vapour_error	Sounding height	water_vapor_mix_sonde	Height NF 355 (km):	Beta355 NF (Mm^-1 sr^-1):	error beta355 NF (Mm^-1 sr^-1)	alpha 355 NF (Mm^-1 sr^-1):	error alpha355 NF (Mm^-1)	Spar 355 NF (sr):	error Spar 355 NF (sr)	BetaMOL 355 (m^-1 sr^-1)	BetaMOL 532 (m^-1 sr^-1)	BetaMOL 1064 (m^-1 sr^-1)
0.444566	2.816340	0.422451	2.219734	0.332960	1.394017	0.209102	-2732.421692	1056.177319	-2806.750872	1129.868757	-970.203089	-402.265324	-1264.453688	-543.199817	-0.066347	-0.091533	0.588469	0.308591	0.671139	0.205397	0.444566	0.145389	0.014539	0.444566	0.242418	0.024242	78.464600	300.092407	90831.906250	0.444566	0.033862	0.003386	0.444566	0.101862	0.010186	0.000000	0.000000	0.444566	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007104	0.001333	0.000081
0.452038	2.811887	0.421783	2.216559	0.332484	1.392433	0.208865	-2560.364989	988.533260	-2620.079053	1052.434994	-910.550303	-377.154809	-1182.047919	-506.831666	-0.056992	-0.078494	0.588096	0.308396	0.670713	0.205266	0.452038	0.145167	0.014517	0.452038	0.242079	0.024208	85.936066	300.040436	90750.695312	0.452038	0.033623	0.003362	0.452038	0.100982	0.010098	0.000000	0.000000	0.452038	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007099	0.001332	0.000081
0.459509	2.806429	0.420964	2.213354	0.332003	1.390734	0.208610	-2391.857717	920.513236	-2437.529236	974.157959	-852.277975	-352.034868	-1101.283139	-470.107222	-0.046757	-0.064130	0.586870	0.307753	0.670388	0.205167	0.459509	0.144942	0.014494	0.459509	0.241736	0.024174	93.407524	299.988464	90669.484375	0.459509	0.033395	0.003339	0.459509	0.100147	0.010015	0.000000	0.000000	0.459509	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.418609	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007094	0.001331	0.000081
0.466981	2.800320	0.420048	2.210507	0.331576	1.389059	0.208359	-2229.486040	854.003194	-2260.455291	896.396178	-796.154136	-327.515411	-1022.595971	-433.556977	-0.034102	-0.046479	0.584664	0.306596	0.670270	0.205131	0.466981	0.144646	0.014465	0.466981	0.241266	0.024127	100.878983	299.936493	90588.273437	0.466981	0.033158	0.003316	0.466981	0.099283	0.009928	0.000000	0.000000	0.466981	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.413934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007089	0.001330	0.000081
0.474452	2.795651	0.419348	2.207234	0.331085	1.387256	0.208088	-2072.860815	788.977508	-2093.328735	823.056853	-741.459027	-303.340578	-948.394452	-399.105313	-0.024290	-0.032859	0.584202	0.306354	0.670006	0.205050	0.474452	0.144311	0.014431	0.474452	0.240725	0.024073	108.350441	299.884521	90507.062500	0.474452	0.032914	0.003291	0.474452	0.098391	0.009839	0.000000	0.000000	0.474452	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.409097	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007084	0.001329	0.000080
0.481923	2.790093	0.418514	2.203876	0.330581	1.385381	0.207807	-1924.418618	727.055033	-1936.106002	754.434611	-689.732839	-280.371640	-878.500419	-366.808972	-0.014968	-0.020082	0.583046	0.305748	0.669760	0.204975	0.481923	0.143968	0.014397	0.481923	0.240174	0.024017	115.821907	299.832550	90425.851562	0.481923	0.032679	0.003268	0.481923	0.097538	0.009754	0.000000	0.000000	0.481923	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.404340	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007079	0.001328	0.000080
0.489395	2.783816	0.417572	2.199982	0.329997	1.383308	0.207496	-1784.439590	669.153810	-1790.247136	692.155628	-641.004750	-258.890036	-813.755425	-337.467686	-0.008032	-0.010695	0.581851	0.305121	0.669369	0.204855	0.489395	0.143593	0.014359	0.489395	0.239569	0.023957	123.293365	299.780579	90344.640625	0.489395	0.032466	0.003247	0.489395	0.096776	0.009678	0.000000	0.000000	0.489395	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.399712	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007074	0.001327	0.000080
0.496866	2.777934	0.416690	2.195848	0.329377	1.381069	0.207160	-1653.439910	616.030280	-1653.952128	634.888186	-595.204879	-239.056160	-753.217865	-310.422169	-0.000766	-0.001013	0.581271	0.304817	0.668993	0.204740	0.496866	0.143266	0.014327	0.496866	0.239055	0.023905	130.764832	299.728607	90263.421875	0.496866	0.032264	0.003226	0.496866	0.096060	0.009606	0.000000	0.000000	0.496866	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.395263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007068	0.001326	0.000080
0.504338	2.772899	0.415935	2.191446	0.328717	1.378548	0.206782	-1531.203523	567.158967	-1527.012620	581.861942	-552.203163	-220.671834	-696.805906	-285.346910	0.006775	0.008900	0.581747	0.305066	0.668734	0.204661	0.504338	0.142915	0.014292	0.504338	0.238501	0.023850	138.236282	299.676605	90182.210937	0.504338	0.032084	0.003208	0.504338	0.095431	0.009543	0.000000	0.000000	0.504338	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.391814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007063	0.001325	0.000080
0.511809	2.767267	0.415090	2.186628	0.327994	1.375802	0.206370	-1417.500028	522.636371	-1409.498932	533.588519	-512.238315	-203.895191	-644.599244	-262.481172	0.013993	0.018279	0.582162	0.305284	0.668435	0.204569	0.511809	0.142525	0.014253	0.511809	0.237876	0.023788	145.707748	299.624634	90101.000000	0.511809	0.031938	0.003194	0.511809	0.094938	0.009494	0.000000	0.000000	0.511809	NaN	NaN	NaN	NaN	NaN	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.387503	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007058	0.001324	0.000080
