Height(km):	Beta355 (Mm^-1 sr^-1):	error beta355 (Mm^-1 sr^-1)	Beta532 (Mm^-1 sr^-1):	error beta532 (Mm^-1 sr^-1)	Beta1064 (Mm^-1 sr^-1):	error beta1064 (Mm^-1 sr^-1)	alpha355 (Mm^-1 sr^-1):	error alpha355 (Mm^-1)	alpha532 (Mm^-1 sr^-1):	error alpha532 (Mm^-1)	S355 (sr^-1)	errorS355	S532 (sr^-1)	error S532	Angstrom ext	error Angstrom ext	Angstrom b355/532	error Angstrom b355/532	Angstrom b532/1064	error Angstrom b532/1064 	voldepol höhe	vol.depol 532	error vol.depol 	partdepolhöhe	part. depol 532	error part. depol	sounding height (km)	Temperature (K)	Pressure (Pa)	voltdepol height	vol. depol 355	error	vol. depol 1064	error	partdepol height	part. depol 355	error	part. depol 1064	error	Mixing ratio height (km)	Water vapour mixing ratio (g/kg)	Height NF (km):	Beta532 NF (Mm^-1 sr^-1):	error beta532 NF (Mm^-1 sr^-1)	alpha 532 NF (Mm^-1 sr^-1):	error alpha532 NF (Mm^-1)	Spar 532 NF (sr):	error Spar532 NF (sr)	Height HSRL (km):	BetaHSRL (Mm^-1 sr^-1):	error betaHSRL (Mm^-1 sr^-1)	alpha HSRL (Mm^-1 sr^-1):	error alphaHSRL (Mm^-1)	Spar HSRL (sr)	error Spar HSRL (sr)
0.367744	13.716991	0.000000	8.054318	0.000000	1.989870	0.000000	754.434482	0.000000	442.987498	0.000000	55.000000	0.000000	55.000000	0.000000	1.316176	0.000000	1.316176	0.000000	2.017089	0.000000	0.367744	0.041446	0.004145	0.367744	0.048096	0.004810	0.367744	290.689819	97054.867187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.367744	NaN	0.457402	NaN	NaN	-60.282930	-0.010033	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.397630	14.809355	0.000000	8.719799	0.000000	2.177883	0.000000	814.514532	0.000000	479.588956	0.000000	55.000000	0.000000	55.000000	0.000000	1.309343	0.000000	1.309343	0.000000	2.001368	0.000000	0.397630	0.040065	0.004006	0.397630	0.046072	0.004607	0.397630	290.638733	96713.531250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.397630	NaN	0.487288	NaN	NaN	-60.080059	-0.010004	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.427516	14.879862	0.000000	8.860016	0.000000	2.279926	0.000000	818.392410	0.000000	487.300895	0.000000	55.000000	0.000000	55.000000	0.000000	1.281649	0.000000	1.281649	0.000000	1.958322	0.000000	0.427516	0.038656	0.003866	0.427516	0.044223	0.004422	0.427516	290.595184	96379.859375	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.427516	NaN	0.517173	NaN	NaN	-59.841466	-0.009984	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.457402	13.967632	0.000000	8.523302	0.000000	2.275559	0.000000	768.219749	0.000000	468.781622	0.000000	55.000000	0.000000	55.000000	0.000000	1.221032	0.000000	1.221032	0.000000	1.905192	0.000000	0.457402	0.036794	0.003679	0.457402	0.042223	0.004222	0.457402	290.551666	96046.179687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.457402	NaN	0.547059	NaN	NaN	-59.625535	-0.009976	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.487288	12.332800	0.000000	7.695224	0.000000	2.162513	0.000000	678.304014	0.000000	423.237323	0.000000	55.000000	0.000000	55.000000	0.000000	1.165964	0.000000	1.165964	0.000000	1.831254	0.000000	0.487288	0.034500	0.003450	0.487288	0.040111	0.004011	0.487288	290.508148	95712.507812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.487288	NaN	0.576945	NaN	NaN	-59.491020	-0.009956	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.517173	10.270694	0.000000	6.669215	0.000000	1.980763	0.000000	564.888145	0.000000	366.806823	0.000000	55.000000	0.000000	55.000000	0.000000	1.067404	0.000000	1.067404	0.000000	1.751461	0.000000	0.517173	0.031786	0.003179	0.517173	0.037778	0.003778	0.517173	290.464630	95378.828125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.517173	NaN	0.606831	NaN	NaN	-59.433116	-0.009927	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.547059	8.268580	0.000000	5.563951	0.000000	1.763535	0.000000	454.771897	0.000000	306.017288	0.000000	55.000000	0.000000	55.000000	0.000000	0.979306	0.000000	0.979306	0.000000	1.657640	0.000000	0.547059	0.028304	0.002830	0.547059	0.034324	0.003432	0.547059	290.421112	95045.148437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.547059	NaN	0.636717	NaN	NaN	-59.394008	-0.009900	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.576945	6.291577	0.000000	4.447733	0.000000	1.517114	0.000000	346.036745	0.000000	244.625302	0.000000	55.000000	0.000000	55.000000	0.000000	0.857343	0.000000	0.857343	0.000000	1.551740	0.000000	0.576945	0.023476	0.002348	0.576945	0.029437	0.002944	0.576945	290.377594	94711.476562	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.576945	NaN	0.666603	NaN	NaN	-59.398568	-0.009859	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.606831	4.565891	0.000000	3.275405	0.000000	1.229282	0.000000	251.124028	0.000000	180.147256	0.000000	55.000000	0.000000	55.000000	0.000000	0.821140	0.000000	0.821140	0.000000	1.413857	0.000000	0.606831	0.017517	0.001752	0.606831	0.023013	0.002301	0.606831	290.338043	94380.382812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.606831	NaN	0.696488	NaN	NaN	-59.471795	-0.009804	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.636717	3.162789	0.000000	2.346803	0.000000	0.973690	0.000000	173.953400	0.000000	129.074151	0.000000	55.000000	0.000000	55.000000	0.000000	0.737655	0.000000	0.737655	0.000000	1.269163	0.000000	0.636717	0.012065	0.001207	0.636717	0.016632	0.001663	0.636717	290.305389	94053.757812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.636717	NaN	0.726374	NaN	NaN	-59.585358	-0.009782	0.000000	NaN	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
